departure location: 35-796 or 811-953
departure station: 25-224 or 248-952
departure platform: 47-867 or 885-959
departure track: 44-121 or 127-949
departure date: 49-154 or 180-960
departure time: 35-532 or 546-971
arrival location: 41-700 or 706-953
arrival station: 25-562 or 568-968
arrival platform: 31-672 or 680-969
arrival track: 43-836 or 852-961
class: 38-291 or 304-968
duration: 31-746 or 755-956
price: 46-711 or 719-971
route: 35-584 or 608-955
row: 39-618 or 640-950
seat: 25-308 or 334-954
train: 26-901 or 913-957
type: 33-130 or 142-965
wagon: 34-395 or 405-962
zone: 46-358 or 377-969

your ticket:
97,103,89,191,73,79,83,101,151,71,149,53,181,59,61,67,113,109,107,127

nearby tickets:
895,527,676,768,695,821,473,414,835,426,741,650,886,709,938,355,113,358,106,888
559,796,709,661,116,680,773,857,118,304,704,578,720,339,584,914,270,196,661,861
390,557,348,432,734,441,74,761,272,266,531,704,52,78,200,478,455,664,663,339
400,386,926,211,100,481,358,429,450,336,943,549,933,78,274,722,571,483,144,442
579,509,478,975,218,855,93,759,92,406,339,648,144,128,478,948,489,482,547,926
512,946,469,183,24,694,889,198,551,947,275,857,408,943,734,382,308,80,448,119
305,830,449,54,518,193,663,825,95,946,484,672,248,701,257,395,827,783,218,189
128,52,773,150,561,436,483,913,526,819,903,700,530,941,757,509,386,885,554,788
779,947,111,357,206,252,661,481,124,450,773,554,779,827,116,466,259,434,901,898
651,143,274,523,89,53,116,71,513,108,753,858,209,282,410,436,357,57,517,743
87,691,793,306,426,127,152,836,192,497,276,418,66,771,147,910,824,917,767,510
180,657,454,609,60,190,705,337,941,947,835,554,546,84,546,772,389,193,531,890
128,387,865,735,462,548,652,89,902,728,490,490,278,931,81,265,449,523,948,112
588,892,450,651,154,583,667,835,356,497,81,405,671,480,53,259,514,896,352,734
928,686,618,946,933,205,485,392,445,119,69,248,265,398,522,725,438,781,821,555
73,213,183,89,210,650,349,356,722,550,341,816,986,824,250,145,890,446,690,698
488,462,456,569,746,471,460,995,916,777,526,116,520,71,762,569,455,472,890,647
549,351,421,477,661,335,148,530,759,207,599,283,304,208,271,609,919,574,528,708
610,833,569,613,672,664,924,99,94,389,819,664,727,739,249,768,836,911,252,825
923,429,814,577,109,818,571,522,714,646,815,706,898,439,216,494,495,931,898,458
96,852,211,822,181,71,697,709,542,745,273,813,493,499,474,196,469,79,276,792
608,219,527,665,474,755,419,700,913,644,822,393,666,412,335,402,281,618,460,771
267,438,112,433,853,103,676,766,187,831,490,569,927,826,771,334,773,377,342,209
258,98,457,900,83,511,612,897,220,414,119,24,734,572,147,425,72,509,118,287
81,386,854,74,363,118,738,448,53,772,526,112,198,948,926,915,186,526,408,501
853,553,490,194,282,756,261,939,754,448,386,522,516,83,154,65,433,780,415,451
153,702,580,200,948,198,146,379,121,109,759,114,153,659,794,735,852,568,347,84
856,742,770,91,270,611,693,148,450,265,506,889,680,657,130,729,75,457,455,8
188,553,865,61,184,208,643,405,996,212,856,574,943,470,745,532,185,811,613,735
887,381,24,68,426,640,89,85,693,757,460,109,913,689,763,358,121,655,498,424
772,771,418,58,922,152,272,378,689,254,290,568,453,24,73,768,254,457,503,896
695,649,924,79,209,661,775,859,575,221,858,86,269,857,836,305,274,23,659,795
61,553,740,52,522,270,388,124,736,660,457,897,262,665,833,104,442,530,270,479
392,893,306,252,278,336,259,560,421,103,150,409,923,460,190,711,261,503,12,924
